RD1_WIN,RD2_WIN,RD3_WIN,RD4_WIN,RD5_WIN,RD6_WIN,RD7_WIN,TEAM_NAME,TEAM_RATING,TEAM_SEED,RANK,PCT,RPI,PCT_NC,RPI_NC,RANK_NC,PCT_C,RPI_C,RANK_OLD,ROAD,NC,OPP,WIN,LOSS,WL_1_25,WL_26_50,WL_51_100,WL_101_200,WL_201,ND1
1,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396854,Wisconsin,84.75,7,29,0.6452,0.5949,0.6154,0.5467,97,0.6667,0.6295,14,0.545455,0.5,104,119,76,0.4,1,1,0.6,0.8,0
1,0.36337233,0.03928262,0.01515909,0.00416723,0.00154824,0.00045187,Colorado,81.46,8,30,0.6774,0.5948,0.8333,0.5863,47,0.5789,0.6064,31,0.363636,0.5,106,141,31,0.333333,0.333333,0.833333,0.833333,1,1
1,0.20535771,0.06034051,0.00741602,0.00161258,0.00046164,0.00010352,South Dakota State,78.64,12,31,0.7742,0.5936,0.75,0.5932,38,0.7895,0.5906,45,0.533333,1,166,174,139,0,0,0.75,0.789474,0.857143,1
1,0.39351391,0.09322671,0.03568588,0.0112186,0.00263522,0.00071271,Saint Joseph's,81.61,8,32,0.7742,0.5934,0.8462,0.6046,26,0.7222,0.5868,49,0.909091,0.5,135,159,53,0.5,0.25,0.6,0.923077,1,0
1,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232979,Seton Hall,84.46,6,34,0.7333,0.5929,0.8333,0.5691,68,0.6667,0.613,25,0.636364,0.666667,128,158,44,0.25,0.6,0.5,1,1,0
1,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040447,Texas Tech,81.27,8,35,0.6129,0.5918,0.8333,0.6228,14,0.4737,0.5866,50,0.3,0.5,93,126,40,0.272727,0.666667,0.75,0.8,1,0
1,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.00338949,Notre Dame,84.36,6,37,0.6667,0.5874,0.75,0.5747,60,0.6111,0.5963,41,0.5,0.25,113,149,42,0.5,0,0.375,1,1,0
1,0.60648609,0.18259449,0.08393883,0.03188932,0.00931018,0.00305516,Cincinnati,83.7,9,38,0.7097,0.5866,0.7692,0.5641,73,0.6667,0.6028,34,0.5,1,139,175,52,0.25,0.5,0.571429,0.75,1,0
1,0.73443704,0.13989595,0.05707852,0.02168932,0.00567519,0.00169002,VCU,83.05,10,40,0.7097,0.5857,0.6154,0.5409,102,0.7778,0.6149,22,0.636364,0,129,150,76,0,0.5,0.571429,0.833333,1,0
1,0.37799129,0.02681753,0.00601826,0.00180312,0.00052577,0.00016033,Southern California,81.4,8,41,0.6562,0.5856,0.8462,0.6001,35,0.5263,0.579,60,0.3,0.5,106,142,37,0.142857,0.8,0.5,1,1,0
1,0.38725076,0.13930259,0.03700786,0.00980374,0.00193271,0.00044636,Yale,80.2,12,43,0.7778,0.5844,0.6154,0.5631,75,0.9286,0.6,37,0.6,1,192,229,63,0,0.333333,0,0.777778,1,1
1,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069644,Providence,82.48,9,44,0.7097,0.5835,0.9231,0.5946,36,0.5556,0.5829,57,0.636364,0.666667,130,160,56,0.333333,0.5,1,0.7,1,0
1,0.15402084,0.04699842,0.01008468,0.00219083,0.0003691,7.39E-05,NC-Wilmington,77.72,13,45,0.7667,0.5831,0.6667,0.5248,132,0.8095,0.5994,39,0.615385,1,159,169,125,0,0,0.666667,0.733333,0.888889,1
1,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304313,Butler,84.17,9,46,0.7,0.5831,0.9167,0.5867,45,0.5556,0.5849,51,0.5,0.75,126,165,35,0.166667,0.6,0.666667,0.888889,1,0
1,0.60181899,0.30534,0.09376385,0.03161595,0.01166896,0.00455993,Gonzaga,85.96,11,47,0.7812,0.5828,0.6364,0.5556,85,0.8571,0.5834,56,0.818182,0.857143,165,198,44,0,0.333333,0.8,0.8,1,1
0.51707412,0.24479242,0.14752607,0.0671952,0.02713744,0.01567718,0.00733255,Wichita State,86.59,11,48,0.7419,0.5827,0.5455,0.5606,77,0.85,0.584,53,0.75,0.2,155,188,60,0.5,0,0.5,0.888889,1,1
1,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111194,Pittsburgh,82.29,10,49,0.6667,0.5826,0.9091,0.5805,51,0.5263,0.5871,47,0.333333,1,109,141,46,0.142857,1,0.777778,0.75,1,1
0.46378293,0.15495831,0.03650961,0.01209639,0.00222762,0.0007156,0.00023798,Tulsa,79.93,11,50,0.6667,0.5817,0.6667,0.5505,91,0.6667,0.6038,33,0.5,0.666667,130,162,67,0.5,0.5,0.5,0.5,1,0
0.48292588,0.24089068,0.15016678,0.0637222,0.02406272,0.01207092,0.00482823,Vanderbilt,85.59,11,51,0.6129,0.5812,0.6154,0.5653,72,0.6111,0.5924,44,0.25,0.666667,104,137,52,0.25,0,0.625,0.8,1,0
1,0.1580884,0.04770128,0.00826443,0.00191855,0.00048245,0.00013448,Little Rock,78.9,12,52,0.8621,0.5808,0.8889,0.5867,46,0.85,0.5775,62,0.75,1,203,208,173,0,0.666667,1,0.875,0.875,1
1,0.12316657,0.01629048,0.0016262,0.0003633,7.15E-05,1.53E-05,Chattanooga,76.6,12,54,0.8438,0.5806,0.8182,0.604,27,0.8571,0.5616,79,0.733333,1,193,203,139,0.5,0,1,0.727273,0.933333,1
1,0.27805979,0.04054921,0.00956073,0.00166625,0.00044736,9.41E-05,Temple,78.48,10,57,0.6667,0.5783,0.5,0.5188,148,0.7778,0.6212,20,0.666667,0.25,133,170,60,0.25,0.428571,0.75,0.5,0.923077,0
1,0.63662767,0.09951278,0.0528118,0.0208424,0.009286,0.00327233,Connecticut,85.32,9,60,0.6774,0.5771,0.7692,0.5707,64,0.6111,0.5836,55,0.6,0.25,130,170,45,0.5,0.2,0.428571,1,1,0
1,0.07469338,0.01518218,0.00196437,0.00054641,9.77E-05,1.91E-05,Stony Brook,77.09,13,64,0.7931,0.5683,0.6364,0.6031,30,0.8889,0.5555,86,0.6875,0,206,233,102,0,0.5,0.5,0.6,1,1
1,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.00112681,Syracuse,82.69,10,67,0.5938,0.5671,0.7692,0.5772,56,0.4737,0.5633,75,0.272727,0.75,107,139,59,0.285714,0.333333,0.8,0.714286,0.857143,0
0.53621707,0.18883321,0.04683546,0.01622792,0.00313976,0.00082848,0.00023095,Michigan,79.57,11,68,0.6333,0.5664,0.75,0.5498,93,0.5556,0.5784,61,0.4,0.75,126,184,26,0.272727,0,0,1,1,1
1,0.29989084,0.09516434,0.02507946,0.0084253,0.00185985,0.00047572,Northern Iowa,80.24,11,69,0.6364,0.565,0.5833,0.5679,70,0.6667,0.544,97,0.428571,0.833333,159,165,150,1,0.666667,0.666667,0.454545,0.727273,1
1,0.15189607,0.06274396,0.02012179,0.00357558,0.00126262,0.00045693,Stephen F. Austin,80.98,14,77,0.8077,0.5606,0.375,0.4978,179,1,0.5767,63,0.692308,0.666667,224,253,103,0,0,0.4,1,0.928571,1
1,0.15929771,0.03193922,0.0050085,0.00106553,0.00021028,4.72E-05,Iona,78.22,13,80,0.6875,0.5583,0.3333,0.4798,200,0.8261,0.5631,76,0.6,0.5,179,219,91,0,0,0.4,0.571429,0.941176,0
1,0.12990083,0.027687,0.00311017,0.00039728,6.52E-05,1.24E-05,Fresno State,76.61,14,83,0.6897,0.5553,0.6364,0.5207,141,0.7222,0.5745,66,0.461538,0,170,195,116,0,0.5,0,0.846154,0.8,1
1,0.14457226,0.03384366,0.00262335,0.00037461,8.13E-05,1.38E-05,Hawaii,78.02,13,94,0.8148,0.5477,0.8182,0.5416,101,0.8125,0.5489,90,0.777778,0,196,219,96,0,0,0.714286,1,0.933333,1
1,0.0514809,0.01348492,0.00288726,0.00036377,5.33E-05,9.12E-06,Middle Tennessee,75.02,15,95,0.6786,0.5463,0.6,0.56,78,0.7222,0.5376,108,0.583333,0.666667,187,224,108,0,0,0.333333,0.583333,1,1
1,0.14235571,0.01995303,0.00274466,0.00036017,7.37E-05,1.19E-05,Buffalo,75.66,14,113,0.5333,0.5358,0.5,0.5262,131,0.5556,0.5405,104,0.357143,1,145,196,86,0,0,0,0.642857,1,1
1,0.11768487,0.02813062,0.00456128,0.0009999,0.00014129,2.41E-05,Green Bay,76.18,14,116,0.6364,0.5323,0.5455,0.5247,133,0.6818,0.5256,127,0.470588,1,189,231,116,0,0.5,0.166667,0.583333,0.923077,1
1,0.05872659,0.00801166,0.00082059,5.05E-05,5.99E-06,8.00E-07,Weber State,73.28,15,127,0.7143,0.5262,0.5,0.5216,140,0.8333,0.5306,119,0.538462,0.75,231,255,172,0,0.5,0,0.5,0.842105,1
1,0.04141681,0.01194585,0.00320875,0.00082242,8.81E-05,1.16E-05,Cal State Bakersfield,74.97,15,136,0.6923,0.5234,0.5833,0.518,150,0.7857,0.5238,129,0.5,0,227,278,113,0,0,0.25,0.333333,1,1
1,0.03706028,0.00711099,0.00108673,0.00012474,2.26E-05,3.21E-06,NC-Asheville,74.17,15,139,0.6452,0.5206,0.5,0.5171,151,0.7143,0.5099,154,0.461538,0.833333,205,238,144,0,0,0.5,0.357143,1,1
1,0.01742235,0.00193607,0.00010849,6.24E-06,3.50E-07,2.00E-08,Hampton,68.61,16,174,0.6429,0.4988,0.3636,0.5114,160,0.8235,0.4893,187,0.533333,0.666667,243,299,141,0,0,0,0.5,0.809524,1
1,0.00972934,0.00089393,9.37E-05,6.61E-06,6.10E-07,4.00E-08,Austin Peay,68.83,16,188,0.4848,0.4899,0.3846,0.4991,173,0.55,0.4642,228,0.4375,0.8,192,248,140,0,0,0.142857,0.375,0.705882,1
0.32773963,0.00242482,0.00028391,1.65E-05,1.45E-06,8.00E-08,0,Fairleigh Dickinson,66.72,16,204,0.5484,0.481,0.3,0.4658,221,0.6667,0.4702,219,0.529412,0,237,260,208,0,0,0,0.6,0.608696,1
0.67226037,0.00903984,0.00175648,0.00013275,1.50E-05,1.58E-06,1.90E-07,Florida Gulf Coast,71.41,16,215,0.5517,0.4755,0.4167,0.4734,211,0.6471,0.4787,202,0.333333,0,215,251,171,0,0,0,0.5,0.684211,1
0.51992211,0.01317002,0.00131777,0.00012177,9.26E-06,6.20E-07,5.00E-08,Southern,67.96,16,218,0.5714,0.4742,0.5,0.5305,118,0.6111,0.4431,268,0.375,0.5,249,278,211,0,0,0,0.375,0.684211,1
0.48007789,0.00995139,0.00082815,6.08E-05,3.68E-06,1.70E-07,1.00E-08,Holy Cross,66.85,16,250,0.4242,0.4528,0.4545,0.4596,237,0.4091,0.4456,263,0.315789,0,221,243,205,0,0,0,0.333333,0.5,0
