TEAMRESULT,A_PCT,A_RPI,A_PCT_NC,A_RPI_NC,A_RANK_NC,A_PCT_C,A_RPI_C,A_RANK_C,A_ROAD,A_NC,A_OPP,A_WIN_F,A_LOST_F,A_WL_1_25,A_WL_26_50,A_WL_51_100,A_WL_101_200,A_WL_201,A_ND1,B_PCT,B_RPI,B_PCT_NC,B_RPI_NC,B_RANK_NC,B_PCT_C,B_RPI_C,B_RANK_C,B_ROAD,B_NC,B_OPP,B_WIN_F,B_LOST_F,B_WL_1_25,B_WL_26_50,B_WL_51_100,B_WL_101_200,B_WL_201,B_ND1,PLAYIN_FLAG,RD1_WIN,RD2_WIN,RD3_WIN,RD4_WIN,RD5_WIN,RD6_WIN,RD7_WIN,TEAM_RATING,TEAM_SEED,PLAYIN_FLAG_1,RD1_WIN_1,RD2_WIN_1,RD3_WIN_1,RD4_WIN_1,RD5_WIN_1,RD6_WIN_1,RD7_WIN_1,TEAM_RATING_1,TEAM_SEED_1
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6207,0.5961,0.8,0.6003,34,0.5263,0.597,40,0.333333,1,88,117,42,0.375,0.6,0.625,0.666667,1,1,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.26556296,0.02682859,0.00814584,0.00234282,0.00034214,6.00E-05,77.63,7
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.4242,0.4528,0.4545,0.4596,237,0.4091,0.4456,263,0.315789,0,221,243,205,0,0,0,0.333333,0.5,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,1,0.48007789,0.00995139,0.00082815,6.08E-05,3.68E-06,1.70E-07,1.00E-08,66.85,16
1,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.6129,0.5812,0.6154,0.5653,72,0.6111,0.5924,44,0.25,0.666667,104,137,52,0.25,0,0.625,0.8,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,1,0.48292588,0.24089068,0.15016678,0.0637222,0.02406272,0.01207092,0.00482823,85.59,11
0,0.8667,0.6713,0.9167,0.6463,5,0.8333,0.688,1,0.7,0.666667,85,90,53,0.7,1,1,0.857143,1,1,0.8387,0.6203,1,0.6382,7,0.7222,0.6117,26,0.7,1,126,140,52,0.571429,0.666667,1,0.875,1,0,0,1,0.99027066,0.86031066,0.67910561,0.45072058,0.31964453,0.19098271,94.46,1,0,1,0.9485191,0.77629788,0.59476162,0.33937835,0.17270088,0.08938092,91.84,2
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.8065,0.6357,0.8462,0.6286,11,0.7778,0.6425,10,0.545455,1,101,119,28,0.428571,0.5,0.888889,1,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14958335,93.94,1
0,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.8,0.6417,0.9167,0.6191,16,0.7222,0.6555,5,0.545455,1,98,104,75,0.666667,1,0.857143,0.625,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.85764429,0.3619327,0.14119841,0.04926454,0.02537413,0.010445,87.05,3
0,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.7188,0.6154,0.8462,0.6308,8,0.6316,0.6113,27,0.555556,0.6,89,110,37,0.444444,0.5,0.8,0.909091,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.84597916,0.54298653,0.26249249,0.12109972,0.04355837,0.01716773,87.33,4
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.6667,0.5826,0.9091,0.5805,51,0.5263,0.5871,47,0.333333,1,109,141,46,0.142857,1,0.777778,0.75,1,1,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111194,82.29,10
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.5938,0.5671,0.7692,0.5772,56,0.4737,0.5633,75,0.272727,0.75,107,139,59,0.285714,0.333333,0.8,0.714286,0.857143,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.00112681,82.69,10
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.8,0.6417,0.9167,0.6191,16,0.7222,0.6555,5,0.545455,1,98,104,75,0.666667,1,0.857143,0.625,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.85764429,0.3619327,0.14119841,0.04926454,0.02537413,0.010445,87.05,3
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.6667,0.5874,0.75,0.5747,60,0.6111,0.5963,41,0.5,0.25,113,149,42,0.5,0,0.375,1,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.00338949,84.36,6
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.7097,0.6193,0.7692,0.5814,50,0.6667,0.6467,8,0.363636,0,95,118,39,0.428571,0.571429,0.857143,0.8,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.85542774,0.47614677,0.1086855,0.03999135,0.01902739,0.00718934,86.53,4
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2
1,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0.7742,0.6311,0.8462,0.6046,25,0.7222,0.6521,6,0.636364,0.8,100,124,17,0.333333,1,0.75,1,1,0,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1,0,1,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03412325,89.3,3
0,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.8667,0.6454,1,0.6514,3,0.7778,0.6431,9,0.727273,1,110,118,59,0.666667,0.875,0.75,0.909091,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.0181018,87.73,2
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7,0.5831,0.9167,0.5867,45,0.5556,0.5849,51,0.5,0.75,126,165,35,0.166667,0.6,0.666667,0.888889,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304313,84.17,9
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.6667,0.5783,0.5,0.5188,148,0.7778,0.6212,20,0.666667,0.25,133,170,60,0.25,0.428571,0.75,0.5,0.923077,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.27805979,0.04054921,0.00956073,0.00166625,0.00044736,9.41E-05,78.48,10
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7097,0.5835,0.9231,0.5946,36,0.5556,0.5829,57,0.636364,0.666667,130,160,56,0.333333,0.5,1,0.7,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069644,82.48,9
0,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7097,0.5835,0.9231,0.5946,36,0.5556,0.5829,57,0.636364,0.666667,130,160,56,0.333333,0.5,1,0.7,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069644,82.48,9
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7333,0.5929,0.8333,0.5691,68,0.6667,0.613,25,0.636364,0.666667,128,158,44,0.25,0.6,0.5,1,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232979,84.46,6
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7,0.5831,0.9167,0.5867,45,0.5556,0.5849,51,0.5,0.75,126,165,35,0.166667,0.6,0.666667,0.888889,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304313,84.17,9
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7333,0.5929,0.8333,0.5691,68,0.6667,0.613,25,0.636364,0.666667,128,158,44,0.25,0.6,0.5,1,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232979,84.46,6
