"PLAYIN_FLAG","RD1_WIN","RD2_WIN","RD3_WIN","RD4_WIN","RD5_WIN","RD6_WIN","RD7_WIN","TEAM_ALIVE","TEAM_ID","TEAM_NAME","TEAM_RATING","TEAM_REGION","TEAM_SEED","RANK","SCHOOL","WL","PCT","RPI","WL_NC","PCT_NC","RPI_NC","RANK_NC","WL_C","PCT_C","RPI_C","RANK_OLD","ROAD","NC","OPP","WIN","LOSS","WL_1_25","WL_26_50","WL_51_100","WL_101_200","WL_201","ND1"
0,1,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01140497,1,84,"Indiana",87.36,"East","5",21,"Indiana","25-6",0.8065,0.6117,"10-3",0.7692,0.5556,84,"15-3",0.8333,0.6492,7,"6-4","2-2",134,148,78,"4-2","2-1","4-0","7-3","8-0","0-0"
0,1,0.88231513,0.5494919,0.24167014,0.12413686,0.05241442,0.02375483,1,245,"Texas A&M",86.82,"West","3",22,"Texas A&M","24-7",0.7742,0.611,"11-2",0.8462,0.6223,15,"13-5",0.7222,0.6044,32,"5-5","2-1",117,128,80,"3-0","2-0","7-6","6-1","6-0","0-0"
0,1,0.72194021,0.18532737,0.09020343,0.03229494,0.01590512,0.00623653,1,2294,"Iowa",85.91,"South","7",23,"Iowa","21-9",0.7,0.6065,"9-3",0.75,0.5747,61,"12-6",0.6667,0.6283,16,"6-5","2-2",114,146,38,"4-5","1-2","3-1","6-1","7-0","0-0"
0,1,0.70010916,0.32721314,0.12683644,0.05881695,0.02138579,0.00850876,1,251,"Texas",84.66,"West","6",24,"Texas","20-11",0.6452,0.6061,"9-4",0.6923,0.5743,62,"11-7",0.6111,0.6291,15,"5-5","1-3",82,103,44,"5-5","2-2","7-3","3-1","3-0","0-0"
0,1,0.5143169,0.32042143,0.14781034,0.06042232,0.03637168,0.01783296,1,12,"Arizona",89.04,"South","6",25,"Arizona","24-7",0.7742,0.6016,"12-1",0.9231,0.5876,44,"12-6",0.6667,0.6135,24,"5-5","2-1",117,141,35,"1-3","3-3","10-0","2-1","8-0","0-0"
0,1,0.61274924,0.27071246,0.13099527,0.060489,0.02387947,0.01020742,1,239,"Baylor",85.47,"West","5",27,"Baylor","20-10",0.6667,0.5997,"10-2",0.8333,0.6125,21,"10-8",0.5556,0.6067,30,"6-5","0-0",100,145,12,"3-9","1-1","5-0","6-0","5-0","1-0"
0,1,0.26556296,0.02682859,0.00814584,0.00234282,0.00034214,0.00006,1,204,"Oregon State",77.63,"West","7",28,"Oregon State","18-11",0.6207,0.5961,"8-2",0.8,0.6003,34,"10-9",0.5263,0.597,40,"4-8","1-0",88,117,42,"3-5","3-2","5-3","2-1","5-0","1-0"
0,1,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396854,1,275,"Wisconsin",84.75,"East","7",29,"Wisconsin","20-11",0.6452,0.5949,"8-5",0.6154,0.5467,97,"12-6",0.6667,0.6295,14,"6-5","1-1",104,119,76,"4-6","1-0","5-0","6-4","4-1","0-0"
0,1,0.36337233,0.03928262,0.01515909,0.00416723,0.00154824,0.00045187,1,38,"Colorado",81.46,"South","8",30,"Colorado","21-10",0.6774,0.5948,"10-2",0.8333,0.5863,47,"11-8",0.5789,0.6064,31,"4-7","2-2",106,141,31,"3-6","1-2","5-1","5-1","7-0","1-0"
0,1,0.20535771,0.06034051,0.00741602,0.00161258,0.00046164,0.00010352,1,2571,"South Dakota State",78.64,"South","12",31,"South Dakota State","24-7",0.7742,0.5936,"9-3",0.75,0.5932,38,"15-4",0.7895,0.5906,45,"8-7","6-0",166,174,139,"0-0","0-1","3-1","15-4","6-1","2-0"
0,1,0.39351391,0.09322671,0.03568588,0.0112186,0.00263522,0.00071271,1,2603,"Saint Joseph's",81.61,"West","8",32,"Saint Joseph's","24-7",0.7742,0.5934,"11-2",0.8462,0.6046,26,"13-5",0.7222,0.5868,49,"10-1","2-2",135,159,53,"1-1","1-3","3-2","12-1","7-0","0-0"
0,1,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232979,1,2550,"Seton Hall",84.46,"Midwest","6",34,"Seton Hall","22-8",0.7333,0.5929,"10-2",0.8333,0.5691,68,"12-6",0.6667,0.613,25,"7-4","2-1",128,158,44,"1-3","3-2","3-3","7-0","8-0","0-0"
0,1,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040447,1,2641,"Texas Tech",81.27,"Midwest","8",35,"Texas Tech","19-12",0.6129,0.5918,"10-2",0.8333,0.6228,14,"9-10",0.4737,0.5866,50,"3-7","2-2",93,126,40,"3-8","2-1","3-1","8-2","3-0","0-0"
0,1,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.00338949,1,87,"Notre Dame",84.36,"East","6",37,"Notre Dame","20-10",0.6667,0.5874,"9-3",0.75,0.5747,60,"11-7",0.6111,0.5963,41,"5-5","1-3",113,149,42,"4-4","0-1","3-5","6-0","7-0","0-0"
0,1,0.60648609,0.18259449,0.08393883,0.03188932,0.00931018,0.00305516,1,2132,"Cincinnati",83.7,"West","9",38,"Cincinnati","22-9",0.7097,0.5866,"10-3",0.7692,0.5641,73,"12-6",0.6667,0.6028,34,"6-6","2-0",139,175,52,"1-3","2-2","4-3","3-1","12-0","0-0"
0,1,0.73443704,0.13989595,0.05707852,0.02168932,0.00567519,0.00169002,1,2670,"VCU",83.05,"West","10",40,"VCU","22-9",0.7097,0.5857,"8-5",0.6154,0.5409,102,"14-4",0.7778,0.6149,22,"7-4","0-3",129,150,76,"0-2","2-2","4-3","10-2","6-0","0-0"
0,1,0.37799129,0.02681753,0.00601826,0.00180312,0.00052577,0.00016033,1,30,"Southern California",81.4,"East","8",41,"Southern California","21-11",0.6562,0.5856,"11-2",0.8462,0.6001,35,"10-9",0.5263,0.579,60,"3-7","2-2",106,142,37,"1-6","4-1","4-4","5-0","7-0","0-0"
0,1,0.38725076,0.13930259,0.03700786,0.00980374,0.00193271,0.00044636,1,43,"Yale",80.2,"West","12",43,"Yale","21-6",0.7778,0.5844,"8-5",0.6154,0.5631,75,"13-1",0.9286,0.6,37,"9-6","1-0",192,229,63,"0-2","1-2","0-0","7-2","13-0","1-0"
0,1,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069644,1,2507,"Providence",82.48,"East","9",44,"Providence","22-9",0.7097,0.5835,"12-1",0.9231,0.5946,36,"10-8",0.5556,0.5829,57,"7-4","2-1",130,160,56,"2-4","2-2","3-0","7-3","8-0","0-0"
0,1,0.15402084,0.04699842,0.01008468,0.00219083,0.0003691,0.0000739,1,350,"NC-Wilmington",77.72,"West","13",45,"NC-Wilmington","23-7",0.7667,0.5831,"6-3",0.6667,0.5248,132,"17-4",0.8095,0.5994,39,"8-5","5-0",159,169,125,"0-0","0-0","4-2","11-4","8-1","2-0"
0,1,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304313,1,2086,"Butler",84.17,"Midwest","9",46,"Butler","21-9",0.7,0.5831,"11-1",0.9167,0.5867,45,"10-8",0.5556,0.5849,51,"5-5","3-1",126,165,35,"1-5","3-2","2-1","8-1","7-0","0-0"
0,1,0.60181899,0.30534,0.09376385,0.03161595,0.01166896,0.00455993,1,2250,"Gonzaga",85.96,"Midwest","11",47,"Gonzaga","25-7",0.7812,0.5828,"7-4",0.6364,0.5556,85,"18-3",0.8571,0.5834,56,"9-2","6-1",165,198,44,"0-3","1-2","4-1","4-1","16-0","1-0"
1,0.51707412,0.24479242,0.14752607,0.0671952,0.02713744,0.01567718,0.00733255,1,2724,"Wichita State",86.59,"South","11b",48,"Wichita State","23-8",0.7419,0.5827,"6-5",0.5455,0.5606,77,"17-3",0.85,0.584,53,"9-3","1-4",155,188,60,"1-1","0-3","3-3","8-1","11-0","1-0"
0,1,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111194,1,221,"Pittsburgh",82.29,"East","10",49,"Pittsburgh","20-10",0.6667,0.5826,"10-1",0.9091,0.5805,51,"10-9",0.5263,0.5871,47,"3-6","3-0",109,141,46,"1-6","1-0","7-2","6-2","5-0","1-0"
1,0.46378293,0.15495831,0.03650961,0.01209639,0.00222762,0.0007156,0.00023798,1,202,"Tulsa",79.93,"East","11b",50,"Tulsa","20-10",0.6667,0.5817,"8-4",0.6667,0.5505,91,"12-6",0.6667,0.6038,33,"6-6","2-1",130,162,67,"1-1","2-2","5-5","2-2","10-0","0-0"
1,0.48292588,0.24089068,0.15016678,0.0637222,0.02406272,0.01207092,0.00482823,1,238,"Vanderbilt",85.59,"South","11a",51,"Vanderbilt","19-12",0.6129,0.5812,"8-5",0.6154,0.5653,72,"11-7",0.6111,0.5924,44,"3-9","2-1",104,137,52,"2-6","0-1","5-3","8-2","4-0","0-0"
